arquivo,antena,unidade,teste,ensaio,tempo_s,status,latencia_ms,rssi_link_dbm,channel_burst,bssid_burst
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,396.805,OK,12.12,-56.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,400.957,OK,4.78,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,405.097,OK,5.45,-50.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,409.251,OK,8.09,-41.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,413.414,OK,7.16,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,417.552,OK,3.37,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,421.689,OK,3.61,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,425.845,OK,5.02,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,430.122,OK,3.12,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,434.246,OK,2.95,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,438.383,OK,4.47,-42.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,442.533,OK,5.46,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,446.676,OK,5.25,-48.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,450.834,OK,5.1,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,454.973,OK,3.42,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,459.122,OK,5.42,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,463.282,OK,4.67,-55.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,0.0,OK,8.72,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,4.083,OK,4.32,-49.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,8.208,OK,12.68,-50.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,12.35,OK,5.45,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,16.497,OK,8.26,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,20.63,OK,3.38,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,24.767,OK,5.4,-42.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,28.958,OK,13.24,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,33.235,OK,8.16,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,37.394,OK,11.43,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,41.535,OK,4.49,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,45.694,OK,7.87,-42.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,49.828,OK,4.74,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,54.005,OK,12.97,-49.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,58.15,OK,4.82,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,62.288,OK,7.93,-55.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,66.434,OK,4.0,-50.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,70.598,OK,8.26,-41.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,74.735,OK,5.04,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,78.87,OK,4.72,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,83.055,OK,13.13,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,87.232,OK,12.98,-39.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,91.391,OK,4.83,-37.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,95.545,OK,7.16,-37.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,99.816,OK,4.01,-36.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,103.983,OK,8.5,-35.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,108.137,OK,5.21,-38.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,112.285,OK,4.92,-37.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,116.439,OK,6.63,-38.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,120.59,OK,4.56,-37.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,124.716,OK,4.36,-36.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,128.874,OK,5.34,-38.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T2.txt,A4,U1,T2,A4_U1_T2,133.077,OK,13.6,-38.0,11,84:0B:BB:2A:35:70
