arquivo,basename,antena,unidade,teste,ensaio,tempo_abs_ms,tempo_rel_s,status,latencia_ms,ip,channel,bssid,rssi_link_dbm,reason
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,21141,4.083,OK,4.32,192.168.15.1,11,84:0B:BB:2A:35:70,-49.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,25266,8.208,OK,12.68,192.168.15.1,11,84:0B:BB:2A:35:70,-50.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,29408,12.35,OK,5.45,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,33555,16.497,OK,8.26,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,37688,20.63,OK,3.38,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,41825,24.767,OK,5.4,192.168.15.1,11,84:0B:BB:2A:35:70,-42.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,46016,28.958,OK,13.24,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,50293,33.235,OK,8.16,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,54452,37.394,OK,11.43,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,58593,41.535,OK,4.49,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,62752,45.694,OK,7.87,192.168.15.1,11,84:0B:BB:2A:35:70,-42.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,66886,49.828,OK,4.74,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,71063,54.005,OK,12.97,192.168.15.1,11,84:0B:BB:2A:35:70,-49.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,75208,58.15,OK,4.82,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,79346,62.288,OK,7.93,192.168.15.1,11,84:0B:BB:2A:35:70,-55.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,83492,66.434,OK,4.0,192.168.15.1,11,84:0B:BB:2A:35:70,-50.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,87656,70.598,OK,8.26,192.168.15.1,11,84:0B:BB:2A:35:70,-41.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,91793,74.735,OK,5.04,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,95928,78.87,OK,4.72,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,100113,83.055,OK,13.13,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,104290,87.232,OK,12.98,192.168.15.1,11,84:0B:BB:2A:35:70,-39.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,108449,91.391,OK,4.83,192.168.15.1,11,84:0B:BB:2A:35:70,-37.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,112603,95.545,OK,7.16,192.168.15.1,11,84:0B:BB:2A:35:70,-37.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,116874,99.816,OK,4.01,192.168.15.1,11,84:0B:BB:2A:35:70,-36.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,121041,103.983,OK,8.5,192.168.15.1,11,84:0B:BB:2A:35:70,-35.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,125195,108.137,OK,5.21,192.168.15.1,11,84:0B:BB:2A:35:70,-38.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,129343,112.285,OK,4.92,192.168.15.1,11,84:0B:BB:2A:35:70,-37.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,133497,116.439,OK,6.63,192.168.15.1,11,84:0B:BB:2A:35:70,-38.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,137648,120.59,OK,4.56,192.168.15.1,11,84:0B:BB:2A:35:70,-37.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,141774,124.716,OK,4.36,192.168.15.1,11,84:0B:BB:2A:35:70,-36.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,145932,128.874,OK,5.34,192.168.15.1,11,84:0B:BB:2A:35:70,-38.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,150135,133.077,OK,13.6,192.168.15.1,11,84:0B:BB:2A:35:70,-38.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,154286,137.228,OK,6.08,192.168.15.1,11,84:0B:BB:2A:35:70,-38.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,158439,141.381,OK,5.89,192.168.15.1,11,84:0B:BB:2A:35:70,-38.0,
Ping_A4_U1_T2.txt,Ping_A4_U1_T2,A4,U1,T2,A4_U1_T2,162592,145.534,OK,4.66,192.168.15.1,11,84:0B:BB:2A:35:70,-37.0,
